bag_size,learning_rate,pooling,seed,train_accuracy,train_auc,train_f1,test_accuracy,test_auc,test_f1,seed_std,train_accuracy_std,train_auc_std,train_f1_std,test_accuracy_std,test_auc_std,test_f1_std
10,0.0001,attention,2.0,0.9872500000000001,0.9987260245745944,0.9906035018219199,0.9734,0.9970222903644299,0.9809499881550362,1.5811388300841898,0.005244458053772379,0.0003398870376021721,0.0037660495459595307,0.004560701700396567,0.0007733841163987423,0.003066318246542407
10,0.0001,max,2.0,0.9892083333333334,0.9994992299934118,0.9920494875391945,0.9773999999999999,0.9977167118764004,0.983843382027786,1.5811388300841898,0.005876698926929816,0.00023948997056041595,0.00423557939339211,0.008792041856133323,0.00036056000125772884,0.006098569115903296
10,0.0001,mean,2.0,0.96925,0.9938953407490736,0.9770775095357138,0.9629999999999999,0.9925783700908127,0.9733192624365021,1.5811388300841898,0.004598931790221563,0.0011086015453458534,0.0033386580041040483,0.002999999999999993,0.000805521418256569,0.00198408343999894
10,0.001,attention,2.0,0.99375,0.9998117916338538,0.9953488871467575,0.9837999999999999,0.9979941030781931,0.9882513064158449,1.5811388300841898,0.004825514509125208,0.00013000089896110316,0.0036229584571517656,0.0022803508501982534,0.0012814797770592681,0.0016988243134453277
10,0.001,max,2.0,0.9919166666666666,0.9999827426032297,0.9939583445731873,0.9804,0.9988121240712349,0.9858822666369645,1.5811388300841898,0.009222603949596354,1.600268977091752e-05,0.00697629834751349,0.006188699378706306,0.0005849689365098673,0.004382588603736039
10,0.001,mean,2.0,0.9867916666666666,0.9997142707096097,0.9903542007931632,0.9747999999999999,0.9981516688288714,0.9821109020244023,1.5811388300841898,0.010425621151225849,0.00013956727908736704,0.007479282064650166,0.012557866060760514,0.0005353043599752257,0.008615032012296492
10,0.01,attention,2.0,0.67625,0.5,0.8068583315308793,0.695,0.5,0.8200589970501475,1.5811388300841898,0.0025558008638302643,0.0,0.0018202582011676881,0.0,0.0,0.0
10,0.01,max,2.0,0.67625,0.5,0.8068583315308793,0.695,0.5,0.8200589970501475,1.5811388300841898,0.0025558008638302643,0.0,0.0018202582011676881,0.0,0.0,0.0
10,0.01,mean,2.0,0.67625,0.5,0.8068583315308793,0.695,0.5,0.8200589970501475,1.5811388300841898,0.0025558008638302643,0.0,0.0018202582011676881,0.0,0.0,0.0
15,0.0001,attention,2.0,0.9834375,0.9972057929462977,0.989993390847193,0.9756756756756756,0.9959053250539422,0.9855306381380189,1.5811388300841898,0.004080489017875157,0.0004847031265537604,0.002420834371152522,0.010260870608570448,0.0008407118648986257,0.005926562636439937
15,0.0001,max,2.0,0.98375,0.9984978708334511,0.9900981352880491,0.9738738738738739,0.9971274685816877,0.9843310281385869,1.5811388300841898,0.00787475198022135,0.0005360015481309459,0.004872262159875453,0.005371935081080654,0.0005916483470541863,0.0031668550927635487
15,0.0001,mean,2.0,0.9413124999999999,0.9785814630720499,0.9644574334283105,0.944144144144144,0.9819313820763262,0.9667504348440465,1.5811388300841898,0.005552483959904815,0.004083536001928968,0.0036549589533786454,0.003584785701595654,0.003293549095669203,0.0018403880502784007
15,0.001,attention,1.8333333333333333,0.9664583333333333,0.9164706185230137,0.9813823928763613,0.9582082082082083,0.9148191765629546,0.9765044629388343,1.4719601443879746,0.06787760891241434,0.20402824161389638,0.037009807803726015,0.05986768489970869,0.2032198407325789,0.032254156981280736
15,0.001,max,2.0,0.9991875,0.9999961277253661,0.9995095525105689,0.9819819819819819,0.9984550261064353,0.9892046348785559,1.5811388300841898,0.0011817294000743012,5.487679469438722e-06,0.0007140856367262321,0.0028090520921726005,0.00041691322229475165,0.0016881689779776608
15,0.001,mean,2.0,0.9933125,0.999523061877867,0.9959425852510542,0.981081081081081,0.9981025480539587,0.9886069734014319,1.5811388300841898,0.004389484949854591,0.0003762820713425177,0.0026731249238179777,0.004193465478609258,0.0006155592664794248,0.002541870076398322
15,0.01,attention,2.0,0.8281875,0.5,0.906018806849709,0.8363363363363362,0.5,0.910874897792314,1.5811388300841898,0.002394247663672313,0.0,0.0014318457181959376,0.0,0.0,0.0
15,0.01,max,2.0,0.8281875,0.5,0.906018806849709,0.8363363363363362,0.5,0.910874897792314,1.5811388300841898,0.002394247663672313,0.0,0.0014318457181959376,0.0,0.0,0.0
15,0.01,mean,2.0,0.8281875,0.5,0.906018806849709,0.8363363363363362,0.5,0.910874897792314,1.5811388300841898,0.002394247663672313,0.0,0.0014318457181959376,0.0,0.0,0.0
30,0.0001,attention,2.0,0.976125,0.9433188309498423,0.9879176912157813,0.972972972972973,0.8916323731138547,0.9863013698630138,1.5811388300841898,0.0016770509831248866,0.08733923453725248,0.0008589827871599704,0.0,0.11451967275504968,0.0
30,0.0001,max,2.0,0.976125,0.9908060716238124,0.9879176912157813,0.972972972972973,0.9650205761316872,0.9863013698630138,1.5811388300841898,0.0016770509831248866,0.0035129144382660786,0.0008589827871599704,0.0,0.007906132979011217,0.0
30,0.0001,mean,2.0,0.976125,0.7635059254177996,0.9879176912157813,0.972972972972973,0.6869684499314129,0.9863013698630138,1.5811388300841898,0.0016770509831248866,0.021202463559108604,0.0008589827871599704,0.0,0.03422609964281562,0.0
30,0.001,attention,2.0,0.9786250000000001,0.5967271077457407,0.9891754436327848,0.9741741741741743,0.5920438957475994,0.9869036913102583,1.5811388300841898,0.004808846015417832,0.2162883881864227,0.0024142651515977986,0.0026859675405402892,0.20581640780553617,0.00134683170034496
